ID,Содержание,Дата ввода требования в действие,Реестр НТД,Требование безопасности,ЮИН,Обрабатывается в ЦИМ,Подлежит переводу в МПФ,Передано подрядчику,Комментарии,"Наличие ссылок на другие НД, в которых содержатся требования",Наличие ссылок на Задание на проектирование,Наличие ссылок на другие пункы этого СП,Наличие формул,Упоминание расчетов,Наличие таблиц,Наличие рисунков/диаграмм,Требование носит рекомендательный характер
193501,"<p>9.2.9 Образование конденсата в стволах кирпичных и железобетонных труб, отводящих продукты сгорания топлива, не допускается при всех режимах работы.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193501,0,0,0,,0,0,0,0,0,0,0,0
193502,"<p>9.2.10 Необходимость применения футеровки и тепловой изоляции для предотвращения выпадения конденсата и уменьшения термических напряжений следует определять теплотехническим расчетом. При этом в трубах, предназначенных для удаления дымовых газов от сжигания сернистого топлива (независимо от содержания серы), следует предусматривать футеровку или антикоррозийное покрытие из кислотоупорных материалов по всей высоте ствола.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193502,0,0,0,"Упоминание расчетов ['определять теплотехническим расчетом'] 
",0,0,0,0,1,0,0,0
193503,"<p>9.2.11 Расчет дымовой трубы и выбор конструкции защиты внутренней поверхности ее ствола от агрессивного воздействия среды следует выполнять, исходя из условий сжигания основного и резервного топлива.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193503,0,0,0,"Упоминание расчетов ['Расчет'] 
",0,0,0,0,1,0,0,0
193504,<p>9.2.12 При проектировании следует предусматривать защиту от коррозии наружных стальных конструкций кирпичных и железобетонных дымовых труб и поверхностей стальных дымовых труб.</p>,17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193504,0,0,0,,0,0,0,0,0,0,0,0
193505,<p>9.2.14 В местах сопряжения газоходов с дымовой трубой необходимо предусматривать температурно-осадочные швы или компенсаторы.</p>,17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193505,0,0,0,,0,0,0,0,0,0,0,0
193506,"<p>9.2.15 В нижней части дымовой трубы или фундаменте следует предусматривать лазы, люки для осмотра и очистки, устройства для отвода конденсата.</p><p>При применении конденсационных котлов отвод конденсата дымовых труб должен быть совмещен с отводом конденсата из котла и газоходов через нейтрализатор.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193506,0,0,0,,0,0,0,0,0,0,0,0
193507,"<p>9.3.1 Котельные, предназначенные для работы на твердом топливе (угле, торфе, сланцах, древесных отходах и т.д.), должны быть оборудованы установками для очистки дымовых газов от золы. При применении твердого топлива в качестве аварийного, установка золоуловителей не требуется.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193507,0,0,0,"Неоднозначная формулировка ['т.д.']
",0,0,0,0,0,0,0,1
193508,"<p>9.3.3 В качестве золоулавливающих аппаратов следует использовать:</p><p>- дымососы-золоуловители, циклоны батарейные улиточные, батарейные циклоны с рециркуляцией газов при слоевом сжигании топлива;</p><p>- циклоны батарейные улиточные, циклоны батарейные с рециркуляцией газов, мокрые золоуловители, электрофильтры при камерном сжигании топлива.</p><p>Мокрые золоуловители с низконапорными трубами Вентури с каплеуловителями следует применять при наличии системы гидрозолошлакоудаления и устройств, исключающих сброс в водоемы вредных веществ, содержащихся в золошлаковой пульпе.</p><p>Объемы газов принимаются при их рабочей температуре.</p><p>Температура дымовых газов за мокрыми золоуловителями при любых режимах работы котла должна быть не менее чем на 15 °С выше точки росы очищенных газов.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193508,0,0,0,,0,0,0,0,0,0,0,0
193509,<p>9.3.6 Золоуловители предусматривают индивидуальные к каждому котлу.</p><p>При работе котельной на твердом топливе золоуловители не должны иметь обводных газоходов.</p><p><br></p>,17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193509,0,0,0,,0,0,0,0,0,0,0,0
193510,"<p>9.3.7 Сухие золоуловители следует оборудовать системой сбора и удаления сухой золы. Форма и внутренняя поверхность бункера золоуловителя должны обеспечивать полный спуск золы самотеком, при этом угол наклона стенок бункера к горизонту принимается 60° и в обоснованных случаях допускается не менее 55°. Бункера золоуловителей должны иметь герметические затворы.</p><p>Сухие золоуловители должны иметь теплоизоляцию, обеспечивающую температуру стенки бункеров не менее чем на 15 °С выше точки росы очищенных газов.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193510,0,0,0,"Неоднозначная формулировка ['допускается']
",0,0,0,0,0,0,0,1
193511,"<p>9.3.8 Расчетная скорость газов и конфигурация газоходов должны исключать отложение золы в них. Сечение газоходов следует определять, принимая скорость газов по рекомендациям завода-изготовителя в зависимости от физических свойств золы (абразивности, дисперсности, слипаемости и др.). На газоходах следует предусматривать люки для ревизии.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193511,0,0,0,"Неоднозначная формулировка ['др.']
",0,0,0,0,0,0,0,1
193512,"<p>9.3.9 Мокрые искрогасители следует применять в котельных установках, предназначенных для работы на древесных отходах. После золоуловителей искрогасители не устанавливают.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование безопасного уровня воздействия зданий и сооружений на окружающую среду,193512,0,0,0,,0,0,0,0,0,0,0,0
193513,"<p>10.1.1 Использование восстановленных стальных труб, и бывших в употреблении материалов и арматуры не допускается.</p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193513,0,0,0,"Неоднозначная формулировка ['бывших в употреблении']
",0,0,0,0,0,0,0,1
193514,"<p>10.1.2 Трубопроводы горячего и холодного водоснабжения должны изготавливаться из стойких к коррозии материалов. Для изготовления трубопроводов пара и горячей воды должны применяться стальные трубы.</p><p>Диаметры трубопроводов и арматура, должны выбираться на основании гидравлических и прочностных расчетов.</p><p>Применение восстановленных стальных труб и бывших в употреблении материалов и арматуры не допускается.</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193514,0,0,0,"Неоднозначная формулировка ['бывших в употреблении']
",0,0,0,0,0,0,0,1
193515,"<p>10.1.3 Магистральные трубопроводы, к которым присоединяют паровые котлы, следует предусматривать одинарными секционированными или двойными в котельных первой категории.</p><p>Магистральные питательные трубопроводы паровых котлов давлением свыше 0,07 МПа следует проектировать двойными для котельных первой категории. В остальных случаях эти трубопроводы предусматривают одинарными несекционированными.</p><p>Магистральные подающие и обратные трубопроводы систем теплоснабжения, к которым присоединяют водогрейные котлы, водоподогревательные установки и сетевые насосы, следует предусматривать одинарными секционированными или двойными для котельных первой категории независимо от расхода тепла и для котельных второй категории – при расходе тепла 350 МВт и более. В остальных случаях эти трубопроводы должны быть одинарными несекционированными.</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193515,0,0,0,,0,0,0,0,0,0,0,0
193516,<p>10.1.4 При установке котлов с индивидуальными питательными насосами питательные трубопроводы следует предусматривать одинарными.</p>,17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193516,0,0,0,,0,0,0,0,0,0,0,0
193517,<p>10.1.5 Трубопроводы пара и воды от магистралей к оборудованию и соединительные трубопроводы между оборудованием следует предусматривать одинарными.</p>,17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193517,0,0,0,,0,0,0,0,0,0,0,0
193518,"<p>10.1.6 Диаметры трубопроводов следует принимать исходя из максимальных часовых расчетных расходов теплоносителя и допускаемых потерь давления.&nbsp;</p><p>При этом скорость пара следует принимать не более:</p><p>для перегретого пара при диаметре труб, мм:</p><p>- до 200 – 40 м/с;</p><p>- свыше 200 – 70 м/с;</p><p>для насыщенного пара при диаметре труб, мм:</p><p>- до 200 – 30 м/с;</p><p>- свыше 200 – 60 м/с.&nbsp;</p><p>Скорость воды принимается не более 1,5 м/с на линиях всасывания и не более 3,0 м/с на линиях нагнетания. Для самотечных безнапорных линий скорость воды принимается не более 1,0 м/с.</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193518,0,0,0,,0,0,0,0,0,0,0,0
193519,<p>10.1.7 Для компенсации температурного расширения трубопроводов в котельных следует максимально использовать изменение трассы трубопроводов (самокомпенсацию).</p>,16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193519,0,0,0,,0,0,0,0,0,0,0,0
193520,<p>10.1.8 Крепление трубопроводов следует выполнять с помощью стандартных опор и подвесок.</p><p>Использование фланцев оборудования в качестве неподвижных опор не допускается.</p><p><br></p>,16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193520,0,0,0,,0,0,0,0,0,0,0,0
193521,"<p>10.1.9 Отключаемые участки, а также нижние и концевые точки паропроводов должны иметь устройства для периодической продувки и отвода конденсата: штуцера с вентилями, конденсатоотводчики. Во избежание обратного тока при остановке системы за конденсатоотводчиком следует устанавливать обратный клапан.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193521,0,0,0,,0,0,0,0,0,0,0,0
193522,"<p>10.1.10 Для периодического спуска воды или периодической продувки котла, дренажа трубопроводов, паропроводов и конденсатопроводов следует предусматривать в нижних точках трубопроводов устройства для спуска воды (спускники) и общие сборные спускные и продувочные трубопроводы, а в высших точках трубопроводов – устройства для выпуска воздуха (воздушники) в соответствии с приложением Г.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193522,0,0,0,"Наличие ссылок на другие пункы этого СП ['в соответствии с приложением Г']
",0,0,1,0,0,0,0,0
193523,"<p>10.1.11 Минимальные расстояния в свету между поверхностями теплоизоляционных конструкций смежных трубопроводов, а также от поверхности тепловой изоляции трубопроводов до строительных конструкций зданий следует принимать в соответствии с приложением Д.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193523,0,0,0,"Наличие ссылок на другие пункы этого СП ['в соответствии с приложением Д']
",0,0,1,0,0,0,0,0
193524,"<p>10.1.12 Соединение всех трубопроводов, кроме гуммированных, следует предусматривать на сварке. На фланцах допускается присоединение трубопроводов к арматуре и оборудованию.</p><p>Применение муфтовых соединений допускается на трубопроводах пара и воды диаметром до 100 мм с температурой среды не выше 250 оС и давлением до 1,6 МПа, для котельных с котлами с давлением пара до 0,07 МПа и температурой воды не выше 115 °С. Для трубопроводов, расположенных в пределах котлов, с давлением пара свыше 0,07 МПа и температурой выше 115 °С допускается предусматривать применение муфтовых соединений согласно [15].</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193524,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['[15]']
Неоднозначная формулировка ['допускается', 'допускается', 'допускается']
",1,0,0,0,0,0,0,1
193525,<p>10.1.15 Горячие поверхности трубопроводов с температурой более 55 °С должны быть покрыты тепловой изоляцией.</p>,16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193525,0,0,0,,0,0,0,0,0,0,0,0
193526,"<p>10.2.3 Предохранительные клапаны устанавливают на патрубках, непосредственно присоединенных к котлу или трубопроводу без промежуточных запорных органов.</p><p>При расположении на одном патрубке нескольких предохранительных клапанов площадь поперечного сечения патрубка должна быть не менее 1,25 суммарной площади сечения клапанов, установленных на этом патрубке.</p><p>Отбор рабочей среды через патрубок, на котором расположены предохранительные клапаны, не допускается.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193526,0,0,0,,0,0,0,0,0,0,0,0
193527,"<p>10.2.4 Конструкция предохранительных клапанов должна предусматривать возможность проверки их действия в рабочем состоянии путем принудительного открывания клапана.</p><p>Грузы рычажных предохранительных клапанов должны быть закреплены на рычаге способом, исключающим их произвольное перемещение. Навешивать новые грузы после регулировки клапана не допускается.</p><p>При установке на котле двух предохранительных клапанов один из них должен быть контрольным. Контрольный клапан снабжают устройством (например, кожухом, запирающимся на замок), не позволяющим обслуживающему персоналу регулировать клапан, но не препятствующим проверке его состояния.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193527,0,0,0,,0,0,0,0,0,0,0,0
193528,"<p>10.2.5 Предохранительные клапаны должны иметь устройства (отводные трубы) для защиты обслуживающего персонала от ожогов при срабатывании клапанов. Среду, выходящую из предохранительных клапанов, отводят за пределы помещения. Конфигурация и сечение отвода должны быть такими, чтобы за клапаном не создавалось противодавление. Отводящие трубопроводы должны быть защищены от замерзания и оборудованы устройствами для слива конденсата, причем как на отводящих трубопроводах, так и на сливных устройствах не должно быть запорных органов.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193528,0,0,0,,0,0,0,0,0,0,0,0
193529,<p>10.2.6 Для проверки исправности действия предохранительных клапанов следует предусматривать свободный доступ к ним.</p>,16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193529,0,0,0,"Неоднозначная формулировка ['доступ ']
",0,0,0,0,0,0,0,1
193531,<p>10.2.8 Диаметр соединительного и атмосферного трубопровода расширительного сосуда должен быть не менее 50 мм. Для предотвращения замерзания воды сосуд и трубопровод следует утеплять; расширительный сосуд следует плотно закрывать крышкой.</p>,17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193531,0,0,0,,0,0,0,0,0,0,0,0
193532,<p>10.2.9 В случае включения котлов в систему отопления без расширительного сосуда заменять предохранительные клапаны на котлах обводами не допускается.</p>,17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193532,0,0,0,,0,0,0,0,0,0,0,0
193533,"<p>10.2.11 Диаметры обводов и обратных клапанов должны быть приняты по расчету, но не менее:</p><p>40 мм – для котлов теплопроизводительностью до 0,28 МВт;</p><p>50 мм – для котлов теплопроизводительностью свыше 0,28 МВт.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193533,0,0,0,"Упоминание расчетов ['расчету'] 
",0,0,0,0,1,0,0,0
193534,"<p><span style=""color: black;"">10.2.13 Число и размеры предохранительных клапанов рассчитывают по следующим формулам:</span></p><p>	<span style=""color: black;"">а) для водогрейных котлов с естественной циркуляцией</span></p><p><em style=""color: black;"">ndh</em><span style=""color: black;""> = 0,516</span><em style=""color: black;"">Q</em><span style=""color: black;"">,&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(10.1)</span></p><p>	<span style=""color: black;"">б) для водогрейных котлов с принудительной циркуляцией</span></p><p><em style=""color: black;"">ndh</em><span style=""color: black;"">= 0,258</span><em style=""color: black;"">Q</em><span style=""color: black;"">,&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(10.2)</span></p><p><span style=""color: black;"">где </span><em style=""color: black;"">n</em><span style=""color: black;""> – число предохранительных клапанов;</span></p><p>	<em style=""color: black;"">d</em><span style=""color: black;""> – диаметр клапана, мм;</span></p><p>	<em style=""color: black;"">h</em><span style=""color: black;"">– высота подъема клапанов, мм;</span></p><p>	<em style=""color: black;"">Q</em><span style=""color: black;"">– максимальная производительность котла, кВт.</span></p><p>	<span style=""color: black;"">Высоту подъема клапана при расчете по указанным формулам для обычных малоподъемных клапанов принимают не более 1/20</span><em style=""color: black;"">d</em><span style=""color: black;"">.</span></p><p>	<span style=""color: black;"">Трубы от предохранительных устройств паровых котлов должны выводиться за пределы котельной и иметь устройства для отвода воды. Площадь поперечного сечения выхлопной трубы должна быть не менее двойной площади поперечного сечения предохранительного устройства.</span></p><p>	<span style=""color: black;"">Сбросные трубы от предохранительных клапанов водогрейных котлов выводятся в канализацию через промежуточный колодец для котлов с температурой теплоносителя до 100 °С, а для котлов с температурой выше&nbsp;&nbsp;&nbsp;100 °С перед сбросом в промежуточный колодец устанавливается пароводоотделитель. Прямой сброс воды в канализацию с температурой выше 40 °С не допускается.</span></p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193534,0,0,0,"Упоминание расчетов ['расчете'] 
",0,0,0,0,1,0,0,0
193535,"<p>10.2.16 Проверку исправности действия предохранительных клапанов следует проводить не реже одного раза в смену на котлах с рабочим давлением до 1,4 МПа включительно и не реже одного раза в сутки на котлах с рабочим давлением свыше 1,4 МПа.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193535,0,0,0,,0,0,0,0,0,0,0,0
193536,"<p>10.3.2 Автоматизированные паровые котлы с контролем уровня воды должны быть оснащены устройствами автоматического поддержания уровня воды в водяном пространстве.</p><p>Для визуального контроля уровня воды в деаэраторах, питательных и конденсатных баках, указанные устройства должны быть оборудованы указателями уровня.</p><p>Для указателей уровня должна быть предусмотрена возможность их продувки. Воду от водоуказательных устройств следует отводить в линию свободного слива.</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193536,0,0,0,,0,0,0,0,0,0,0,0
193537,"<p>10.4.1 Котлы, вспомогательное оборудование и трубопроводы котельных, а также системы хранения и подачи жидкого и газообразного топлива должны быть оснащены манометрами класса точности не ниже 2,5.</p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193537,0,0,0,,0,0,0,0,0,0,0,0
193538,"<p>10.4.2 Манометры следует выбирать с такой шкалой, чтобы при рабочем давлении их стрелка находилась во второй части шкалы.</p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193538,0,0,0,,0,0,0,0,0,0,0,0
193539,"<p>10.4.3 На шкалу манометра следует наносить красную черту по делению, соответствующему разрешенному давлению в котле с учетом добавочного давления от веса столба жидкости.</p><p>Взамен красной черты разрешается прикреплять или припаивать к корпусу манометра металлическую пластинку, окрашенную в красный цвет и плотно прилегающую к стеклу манометра, над соответствующим делением шкалы. Наносить красную черту на стекло краской запрещается.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193539,0,0,0,,0,0,0,0,0,0,0,0
193540,"<p>10.4.4 Манометр следует устанавливать так, чтобы его показания были видны обслуживающему персоналу, при этом циферблат манометра должен находиться в вертикальной плоскости или с наклоном вперед до 30°.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требование механической безопасности; требование безопасности для пользователей зданиями и сооружениями; требование энергетической эффективности зданий и сооружений,193540,0,0,0,,0,0,0,0,0,0,0,0
